Material,Plant,Vendor,Week,ForecastQty,WIP,Stock,MRP BACKLOG,Price from Info Record,Price unit,Currency from Info Record,Safety Stock,ConsumptionQty,Deviation,DeviationPercent
45022R0333000080,MA10,0,W05-25,22255.0,3826.0,25200.0,166.0,0.0,0.0,0,0.0,20881.0,-1374.0,-6.173893507077062
45022R0333000270,MA10,0,W05-25,9472.0,0.0,4400.0,5000.0,0.0,0.0,0,0.0,4468.0,-5004.0,-52.829391891891895
45022R0373000090,MA10,0,W05-25,6137.0,2672.0,3600.0,216.0,0.0,0.0,0,0.0,7819.0,1682.0,27.40752810819619
45022R0483000050,MA10,YZKMA90V,W05-25,12642.0,7458.0,9000.0,13.0,0.0,0.0,0,0.0,3527.0,-9115.0,-72.10093339661447
45022R0483000050,MA10,YZKMA90V,W05-25,12642.0,7458.0,9000.0,13.0,0.0,0.0,0,0.0,8145.0,-4497.0,-35.5719031798766
45022R0483000060,MA10,0,W05-25,11472.0,4940.0,7000.0,200.0,0.0,0.0,0,0.0,15289.0,3817.0,33.272315202231525
45022R8813000070,MA10,YZKMA90V,W05-25,350.0,0.0,1000.0,0.0,0.0,0.0,0,0.0,168.0,-182.0,-52.0
45022R8813000095,MA10,0,W05-25,411.0,303.0,1250.0,0.0,0.0,0.0,0,0.0,487.0,76.0,18.491484184914842
45022R8813000115,MA10,0,W05-25,711.0,206.0,1350.0,300.0,0.0,0.0,0,0.0,487.0,-224.0,-31.504922644163152
45023B0215100135,MA10,YZKMA90V,W05-25,899.0,752.0,1500.0,0.0,0.0,0.0,0,0.0,491.0,-408.0,-45.383759733036705
45023B0215100145,MA10,YZKMA90V,W05-25,2076.0,2758.0,0.0,0.0,0.0,0.0,0,0.0,2415.0,339.0,16.329479768786126
45023B0215100185,MA10,YZKMA90V,W05-25,2706.0,806.0,1900.0,0.0,0.0,0.0,0,0.0,2993.0,287.0,10.606060606060606
45023B0215100220,MA10,YZKMA90V,W05-25,880.0,862.0,500.0,0.0,0.0,0.0,0,0.0,504.0,-376.0,-42.72727272727273
45023B0255100175,MA10,YZKMA90V,W05-25,1829.0,466.0,1000.0,0.0,0.0,0.0,0,0.0,2489.0,660.0,36.08529250956807
45023B0255100200,MA10,YZKMA90V,W05-25,1196.0,11.0,1750.0,0.0,0.0,0.0,0,0.0,1896.0,700.0,58.52842809364549
45023B0255100230,MA10,YZKMA90V,W05-25,1826.0,463.0,1250.0,0.0,0.0,0.0,0,0.0,2489.0,663.0,36.30887185104052
45023B0255100270,MA10,YZKMA90V,W05-25,925.0,80.0,1200.0,0.0,0.0,0.0,0,0.0,504.0,-421.0,-45.513513513513516
45023B0255100405,MA10,YZKMA90V,W05-25,1196.0,518.0,1500.0,0.0,0.0,0.0,0,0.0,1911.0,715.0,59.78260869565217
45023B0255100505,MA10,YZKMA90V,W05-25,897.0,130.0,1250.0,0.0,0.0,0.0,0,0.0,504.0,-393.0,-43.812709030100336
45023B0255100510,MA10,YZKMA90V,W05-25,880.0,450.0,1000.0,0.0,0.0,0.0,0,0.0,504.0,-376.0,-42.72727272727273
45023B0255100530,MA10,YZKMA90V,W05-25,880.0,210.0,1050.0,0.0,0.0,0.0,0,0.0,504.0,-376.0,-42.72727272727273
45023B0255100575,MA10,YZKMA90V,W05-25,1826.0,150.0,1600.0,0.0,0.0,0.0,0,0.0,2489.0,663.0,36.30887185104052
45023B0255100870,MA10,YZKMA90V,W05-25,1826.0,272.0,1350.0,0.0,0.0,0.0,0,0.0,2489.0,663.0,36.30887185104052
45023B0335100195,MA10,YZKMA90V,W05-25,2244.0,261.0,1180.0,0.0,0.0,0.0,0,0.0,1672.0,-572.0,-25.49019607843137
45023B0335100345,MA10,YZKMA90V,W05-25,1196.0,704.0,1500.0,0.0,0.0,0.0,0,0.0,1911.0,715.0,59.78260869565217
45023B0445100095,MA10,YZKMA90V,W05-25,800.0,0.0,2000.0,0.0,0.0,0.0,0,0.0,835.0,35.0,4.375
45023B0975100165,MA10,YZKMA90V,W05-25,765.0,965.0,1500.0,0.0,0.0,0.0,0,0.0,835.0,70.0,9.15032679738562
45023B0975100740,MA10,YZKMA90V,W05-25,765.0,215.0,1500.0,0.0,0.0,0.0,0,0.0,835.0,70.0,9.15032679738562
45025V0215100540,MA10,0,W05-25,1826.0,1302.0,7360.0,0.0,0.0,0.0,0,0.0,2489.0,663.0,36.30887185104052
